,county_name,fips,min_lat,max_lat,min_lng,max_lng,population
25,Buckingham,51029,37.329553000000004,37.796886,-78.833365,-78.239722,17148
83,Bristol,51520,36.594584999999995,36.676929,-82.243382,-82.103072,16762
52,Giles,51071,37.147482000000004,37.481671999999996,-81.014489,-80.433361,16720
122,Brunswick,51025,36.544156,37.024535,-78.046203,-77.65584100000001,16231
94,Appomattox,51011,37.201852,37.552541999999995,-79.018526,-78.594352,15911
14,Floyd,51063,36.708718,37.123488,-80.633987,-80.104413,15749
50,Grayson,51077,36.559143,36.806422,-81.67739300000001,-80.83795400000001,15550
92,Nottoway,51135,36.982667,37.29622,-78.239354,-77.795926,15232
87,Williamsburg,51830,37.247037,37.310284,-76.742487,-76.664357,14954
91,Nelson,51125,37.535641999999996,38.047565000000006,-79.171926,-78.64078,14930
22,Alleghany,51005,37.596428,37.960658,-80.296143,-79.61216800000001,14860
76,Clarke,51043,38.979479,39.264612,-78.151981,-77.82815699999999,14619
28,Falls Church,51610,38.872213,38.896271999999996,-77.19434,-77.149789,14617
81,Dickenson,51051,36.955837,37.306318,-82.553844,-82.135928,14318
34,Madison,51113,38.229996,38.627282,-78.45291800000001,-78.082657,13261
82,Amelia,51007,37.192197,37.498052,-78.240748,-77.648911,13145
93,Martinsville,51690,36.643805,36.715337,-79.904077,-79.826259,12554
4,Poquoson,51735,37.096844,37.197838,-76.41367,-76.134941,12271
35,Lunenburg,51111,36.776169,37.120089,-78.49302800000001,-78.003639,12196
23,Northumberland,51133,37.669658,38.034974,-76.634547,-76.175687,12095
38,Charlotte,51037,36.697909,37.248759,-78.904587,-78.44331899999999,11880
118,Northampton,51131,36.990708000000005,37.557265,-76.140835,-75.597441,11710
77,Greensville,51081,36.544639000000004,36.898303000000006,-77.767117,-77.296875,11336
63,Sussex,51183,36.707658,37.112034,-77.619029,-76.953546,11159
20,Essex,51057,37.728605,38.162031,-77.1701,-76.668182,10953
129,Lancaster,51103,37.585078,37.841212,-76.668182,-76.15171099999999,10603
15,Middlesex,51119,37.510214000000005,37.778386,-76.751193,-76.140835,10582
64,Cumberland,51049,37.301606,37.74938,-78.465089,-78.07225600000001,9932
130,Richmond,51159,37.778386,38.124444,-76.938006,-76.507811,9023
98,Mathews,51115,37.278361,37.54222,-76.451904,-76.136301,8834
44,Franklin,51620,36.647146,36.708653000000005,-76.96943399999999,-76.909672,7967
74,Lexington,51678,37.765126,37.795115,-79.461917,-79.414948,7446
17,Rappahannock,51157,38.520792,38.864909000000004,-78.33832,-77.93545400000001,7370
12,King and Queen,51097,37.431309000000006,37.972169,-77.186961,-76.64536700000001,7025
56,Charles City,51036,37.222939000000004,37.4906,-77.271575,-76.871575,6963
46,Buena Vista,51530,37.695735,37.761563,-79.382642,-79.32749100000001,6478
7,Surry,51181,36.94445,37.248501,-77.15609,-76.641581,6422
101,Galax,51640,36.62509,36.695963,-80.95002099999999,-80.877274,6347
105,Bland,51021,36.952417,37.302279,-81.462213,-80.85462700000001,6280
19,Covington,51580,37.748244,37.813584999999996,-80.008994,-79.966027,5538
16,Emporia,51595,36.671669,36.720588,-77.563888,-77.506716,5346
24,Craig,51045,37.314901,37.66029,-80.475601,-79.969037,5131
61,Bath,51017,37.844458,38.266164,-80.05605600000001,-79.436678,4147
85,Norton,51720,36.900477,36.959921,-82.66293399999999,-82.58889,3981
119,Highland,51091,38.180419,38.591515,-79.810154,-79.308161,2190
